Metabolic Control Analysis Result:

A steady state was found. All coefficients are shown.

Unscaled elasticities
Unscaled elasticity matrix
Rows:    Reactions (reduced system)
Columns: Species (reduced system)
	P	Hout	ADP	Q	NAD	PYR	GAP	NADP	F6P	ACCOA	PEP	PGN	MAL	SUC	OAA	ACE	tkt	RU5P	G6P	AMP	ICIT	DAP	eiia	GLCx	ACEx	Pp	PGA3	ei	icd	S7P	ACO	GL6P	SUCCOA	FAD	E4P	PGA2	KDPG	ACEp	FUM	eiicb	X5P	ACP	BPG	GLCp	GLX	R5P	hprP	talC3	CIT	ATP	AKG	FDP	CAMP	NADPH	FADH2	eiiaP	tal	QH2	hpr	icdP	NADH	eiP	eiicbP	tktC2
(PPS)	-1.5049e-06	0	-6.35278e-09	0	0	6.24927e-05	0	0	0	0	-1.34084e-07	0	0	0	-1.68211e-08	0	0	0	0	-3.63163e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35792e-08	-4.88493e-08	0	0	0	0	0	0	0	0	0	0	0	0	0
(MAE)	0	0	0	0	-0.0148608	0	0	0	0	-0.106645	0	0	0.00220624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.030272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(PDH)	0	0	0	0	0.000258428	1.44654	0	0	0	-0.000197265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0509491	0	0	0
(GLT)	0	0	0	0	0	0	0	0	0	1.39598	0	0	0	0	0.124977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.011734	-0.00126808	-0.00408207	0	0	0	0	0	0	0	0	0	-0.0440712	0	0	0
(ACN_1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00601336	0	0	0	0	0	0	0	0	0	-102.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(ACN_2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-34.9413	0	0	0	0	0	0	0	0	0	119.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.890543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(ICD)	0	0	0	0	0	0	0	0.765688	0	0	0	0	0	0	0	0	0	0	0	0	1.22376	0	0	0	0	0	0	0	236.646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.202847	0	0	-1.42616	0	0	0	0	0	0	0	0	0	0
(LPD)	0	0	0	0	0.00895939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214321	0	0	0	0	0	0	0	0	0	0	0	0	0
(SK)	5.74725	0	93.7761	0	0	0	0	0	0	0	0	0	0	-259.676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1365.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-21.8125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(SDH)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301997	0	0	0	0	-0.0500481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10239	0	0	0	0	0	0	0	0	0
(FUMA)	0	0	0	0	0	0	0	0	0	0	0	0	-6.38975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.2942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(MQO)	0	0	0	1.23685	0	0	0	0	0	0	0	0	0.887584	0	-0.641585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13209	0	0	0	0	0	0
(MDH)	0	0	0	0	-0.840336	0	0	0	0	0	0	0	-0.261363	0	2.17091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.61123	0	0	0
(ACEA)	0	0	0	0	0	0	0	0	0	0	-0.0497726	0	0	-0.1615	0	0	0	0	0	0	0.194225	0	0	0	0	0	-0.00469162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.957585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(ACEB)	0	0	0	0	0	0	0	0	0	0.0385677	0	0	-0.000418886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.86244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(ACEK_1)	0	0	-7.2699e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000680911	0	0	0	0	0	0	0	0	0	-0.000845303	0	0	0	0
(ACEK_2)	-4.50616e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000810651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0332	0	0	0	0
(EDD)	0	0	0	0	0	0	0	0	0	0	0	0.106117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0345676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(EDA)	0	0	0	0	0	-0.12316	-0.247712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(NDHI)	0	-5339.83	0	3.47194	-0.534606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.11981	0	0	7.14556	0	0	0
(PNT)	0	0	0	0	0.222409	0	0	-2.17303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52097	0	0	0	0	0	0	-2.30168	0	0	0
(ADK)	0	0	-0.301105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.623131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(ATP_SYN)	0.18261	989184	2.98001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00612479	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(CYA)	-2.09435e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00301045	0	0	-0.000110759	0	0	0.0043499	0	0	0	0	0	0	0	0
(DOS)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.22837e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00828	0	0	0	0	0	0	0	0	0	0	0
(ACK)	0	0	0.0296995	0	0	0	0	0	0	0	0	0	0	0	0	-0.0338881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16883	0	0	0	0	0	0	0	-0.00672539	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(ACS)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.8919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026662	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(PTA)	0.0158303	0	0	0	0	0	0	0	0	0.998563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.60903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(PTS_0)	0	0	0	0	0	-21.6843	0	0	0	0	1.56927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8809.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-425.086	0	0
(PTS_1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-42.0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.6721	0	0	0	0	0	0	0	0	0	0	0	1276.23	0	0	38.2424	0	0
(PTS_2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	866.313	0	0	0	0	0	0	0	0	-8.98696	0	0	-22586.7	0	0	0	0	0
(PTS_3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.37049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5286.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519101	0	0	0	0	0	0	-56.8074	0
(PTS_4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189.817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671.295	0
(_GLC_FEED)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(CYTBO)	0	-9925.51	0	-0.438363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29543	0	0	0	0	0	0
(SQR)	0	0	0	2.54876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.44818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11407	0	0	-0.922457	0	0	0	0	0	0
(NDHII)	0	0	0	4.88531	-0.752235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.57566	0	0	10.0544	0	0	0
(GROWTH)	0	0	0	0	1.29973e-05	2.23142e-06	4.10965e-05	0	6.13274e-05	4.30651e-05	8.68524e-06	0	0	0	3.50195e-05	0	0	0	1.86661e-05	0	0	0	0	0	0	0	3.9112e-06	0	0	0	0	0	0	0	0.00019401	0	0	0	0	0	0	0	0	0	0	4.27072e-05	0	0	0	1.91304e-07	4.12195e-05	0	0	0.000301203	0	0	0	0	0	0	0	0	0	0
(ATP_MAINTENANCE)	-0.214329	0	-3.49762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(XCH_GLC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0994603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-39.9676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(PIT)	-0.0171645	99983.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000359466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(XCH_P)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13.3486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(XCH_ACE1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-39.9985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(_ACE_OUT)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.556e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(XCH_ACE2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0999963	0	0	0	0	0	0	0	0	0	0	0	0	39.9985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(GL6P_HYDROLYSIS)	0	0	0	0	0	0	0	0	0	0	0	-3.90187e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Scaled elasticities
Scaled elasticity matrix
Rows:    Reactions (reduced system)
Columns: Species (reduced system)
	P	Hout	ADP	Q	NAD	PYR	GAP	NADP	F6P	ACCOA	PEP	PGN	MAL	SUC	OAA	ACE	tkt	RU5P	G6P	AMP	ICIT	DAP	eiia	GLCx	ACEx	Pp	PGA3	ei	icd	S7P	ACO	GL6P	SUCCOA	FAD	E4P	PGA2	KDPG	ACEp	FUM	eiicb	X5P	ACP	BPG	GLCp	GLX	R5P	hprP	talC3	CIT	ATP	AKG	FDP	CAMP	NADPH	FADH2	eiiaP	tal	QH2	hpr	icdP	NADH	eiP	eiicbP	tktC2
(PGI)	0	0	0	0	0	0	0	0	-5.69571	0	-0.0754566	-0.0385868	0	0	0	0	0	0	5.96104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(PFK)	0	0	2.06961	0	0	0	0	0	2.26118	0	-2.01343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00572817	0	-0.00950225	0	0	0	0	0	0	0	0	0	0	0	0
(FBA)	0	0	0	0	0	0	-22.8225	0	0	0	-0.169963	0	0	0	0	0	0	0	0	0	0	-23.1091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.3643	0	0	0	0	0	0	0	0	0	0	0	0
(TPI)	0	0	0	0	0	0	-127.233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(GDH)	0.00206394	0	0	0	0.00809025	0	0.955074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00032528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000321637	0	0	0
(PGK)	0	0	24.8881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-24.6289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.7943	0	0	0	0	0	0	-24.6428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(GPM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3107	0	0	0	0	0	0	0	0	-24.1728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(ENO)	0	0	0	0	0	0	0	0	0	0	-7.90842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(PYK)	0	0	1.65385	0	0	-0.0455033	0	0	0	0	2.48614	0	0	0	0	0	0	0.0746038	1.81839	0	0	0	0	0	0	0	0	0	0	0.605571	0	0.00726506	-0.0267745	0	0	0	0	0	0	0	0.250414	0	0	0	0	0.00383789	0	0	0	-2.52628	0	0.210322	0	0	0	0	0	0	0	0	0	0	0	0
(ZWF)	0	0	0	0	0	0	0	0.749589	0	0	0	0	0	0	0	0	0	0	0.743951	0	0	0	0	0	0	0	0	0	0	0	0	-0.00693468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.705642	0	0	0	0	0	0	0	0	0	0
(PGL)	0	0	0	0	0	0	0	0	0	0	0	-16.7527	0	0	0	0	0	0	-0.271521	0	0	0	0	0	0	0	0	0	0	0	0	17.6549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(GND)	0	0	0	0	0	0	0	0.610406	0	0	0	0.968711	0	0	0	0	0	-0.0813361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.267023	0	-0.526209	0	-0.178986	0	0	0	0	0	0	0	0	0	0
(RPE)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-70.2333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(RPI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.7688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.149684	0	0	0	0	0	0	0	0	0	0	-17.8545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(X5P_GAP_TKT)	0	0	0	0	0	0	-15.5407	0	0	0	0	0	0	0	0	0	16.5407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.5407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15.5407
(F6P_E4P_TKT)	0	0	0	0	0	0	0	0	-51.1657	0	0	0	0	0	0	0	-51.1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.1657
(S7P_R5P_TKT)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-105.492	0	0	0	0	0	0	0	0	0	0	0	0	-105.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.492
