Query	BioCyc Common-Name	BioCyc	Kegg	ChEBI	PubChem	HMDB	ChemsSpider	Metabolights	MetanetX	BiGG	SEED	InChi	InChiKey
NADH	NADH	NADH	C00004	57945	21604869	HMDB01487	10239197	MTBLC57945	MNXM10	nadh	cpd00004	"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1"	InChIKey=BOPGDPNILDQYTO-NNYOXOHSSA-L
NADPH	NADPH	NADPH	C00005	57783	15983949	HMDB00221	10239199	MTBLC57783	MNXM6	nadph	cpd00005	"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1"	InChIKey=ACFIXJIJDZMPPO-NNYOXOHSSA-J
NH3	ammonia	ammonia	C00014	16134	222	HMDB00051	217	MTBLC16134				InChI=1S/H3N/h1H3	InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N
O2	dioxygen	dioxygen	C00007	15379	977	HMDB01377	952	MTBLC15379	MNXM4	o2	cpd00007	InChI=1S/O2/c1-2	InChIKey=MYMOFIZGZYHOMD-UHFFFAOYSA-N
PEP	phosphoenolpyruvate	phosphoenolpyruvate	C00074	58702	3674425	HMDB00263	2907208		MNXM73	pep	cpd00061	"InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)/p-3"	InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-K
Phe	L-phenylalanine	L-phenylalanine	C00079	58095	6925665	HMDB00159		MTBLC58095	MNXM97	phe__L		"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1"	InChIKey=COLNVLDHVKWLRT-QMMMGPOBSA-N
Pro	L-proline	L-proline	C00148	60039	6971047	HMDB00162		MTBLC60039	MNXM114	pro__L		"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1"	InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N
Pyr	GLYCO-CT-PYR	GLYCO-CT-PYR											
SO4	sulfate	sulfate	C00059	16189	1117	HMDB01448	1085	MTBLC16189		so4		"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2"	InChIKey=QAOWNCQODCNURD-UHFFFAOYSA-L
Ser	L-serine	L-serine	C00065	33384	6857581	HMDB00187		MTBLC33384		ser__L		"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1"	InChIKey=MTCFGRXMJLQNBG-REOHCLBHSA-N
Suc	succinate	succinate	C00042	30031	160419	HMDB00254	140973	MTBLC30031	MNXM25	succ	cpd00036	"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2"	InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L
SucCoA	succinyl-CoA	succinyl-CoA	C00091	57292	45266545	HMDB01022		MTBLC57292	MNXM92	succoa	cpd00078	"InChI=1S/C25H40N7O19P3S/c1-25(2,20(38)23(39)28-6-5-14(33)27-7-8-55-16(36)4-3-15(34)35)10-48-54(45,46)51-53(43,44)47-9-13-19(50-52(40,41)42)18(37)24(49-13)32-12-31-17-21(26)29-11-30-22(17)32/h11-13,18-20,24,37-38H,3-10H2,1-2H3,(H,27,33)(H,28,39)(H,34,35)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/p-5/t13-,18-,19-,20+,24-/m1/s1"	InChIKey=VNOYUJKHFWYWIR-ITIYDSSPSA-I
Thr	L-threonine	L-threonine	C00188	57926	6971019	HMDB00167		MTBLC57926	MNXM142	thr__L	cpd00161	"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1"	InChIKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N
Trp	L-tryptophan	L-tryptophan	C00078	57912	6923516	HMDB00929		MTBLC57912	MNXM94	trp__L		"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"	InChIKey=QIVBCDIJIAJPQS-VIFPVBQESA-N
Tyr	L-tyrosine	L-tyrosine	C00082	58315	6942100	HMDB00158		MTBLC58315	MNXM76	tyr__L		"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1"	InChIKey=OUYCCCASQSFEME-QMMMGPOBSA-N
Val	L-valine	L-valine	C00183	57762	6971018	HMDB00883		MTBLC57762	MNXM199	val__L		"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1"	InChIKey=KZSNJWFQEVHDMF-BYPYZUCNSA-N
